Event []	DATE/TIME []	Location []	IUCN Red List status []	Species []	LATITUDE []	LONGITUDE []	DEPTH, water [m]	Temperature, water [°C]	Latitude 2 []	Longitude 2 []	Uniform resource locator/link to reference []
PS132_1-2	1980-09-02T12:30:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	69.3	11.5		0.7946329210945906	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T13:00:00	Bremerhaven,     Germany	Endangered	Delphinus delphis	69.4	12.0		0.5114747147848016	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T13:30:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	69.49999999999999	12.5	0.025	0.18244098986983603	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T14:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	69.59999999999998	13.0	0.03	0.5094551587094975	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T14:30:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	69.69999999999997	13.5	0.035	0.14464620597036904	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T15:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	69.79999999999997	14.0	0.04	0.36339255107952306	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T15:30:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	69.89999999999996	14.5	0.045	0.20053174727382495	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T16:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	69.99999999999996	15.0	0.05	0.29389848596590307	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T16:30:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	70.09999999999995	15.5	0.055	0.12400023518846848	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T17:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	70.19999999999995	16.0	0.06	0.20561310729865634	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T17:30:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	70.29999999999994	16.5	0.065	0.3628702761034376	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132_1-2	1980-09-02T18:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	70.39999999999993	17.0	0.07	0.7336240468053525	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
