,Event label,Identification,Identification,Cruise/expedition,Set,Species,"DEPTH, water [m]",LATITUDE,LONGITUDE,"Temperature, water [°C]",Salinity,Gear,Year of observation [a AD],DATE/TIME,Code,Code,Code,Code,"Accession number, genetics",Elevation [m]
0,PAA2013008_Gb12,Gb12,157.0,PAA2013008,44.0,Geodia barretti,1238.0,62.85113,-59.99052,,,Alfredo,2013.0,2013-01-01,IE_20170918_04501,IE_20170919_03601,IE_20171002_05101,IE_20171003_04101,insdc:SRX3993962,-1238.0
1,PAA2013008_Gb1,Gb1,169.0,PAA2013008,46.0,Geodia barretti,407.0,62.88293,-61.29213,2.41,34.49,Alfredo,2013.0,2013-01-01,IE_20170918_02801,IE_20170919_04001,IE_20171002_04001,IE_20171003_01801,insdc:SRX3993939,-407.0
2,PAA2013008_Gb2,Gb2,174.0,PAA2013008,47.0,Geodia barretti,440.0,62.76543,-61.4302,2.77,34.59,Alfredo,2013.0,2013-01-01,IE_20170918_05601,IE_20170919_06501,IE_20171002_05701,IE_20171003_01601,insdc:SRX3993936,-440.0
3,PAA2013008_Gb8,Gb8,176.0,PAA2013008,48.0,Geodia barretti,700.0,62.78033,-61.15217,3.67,34.8,Alfredo,2013.0,2013-01-01,IE_20170918_06601,IE_20170919_06801,IE_20171002_07001,IE_20171003_04801,insdc:SRX3993945,-700.0
4,PAA2013008_Gb9,Gb9,177.0,PAA2013008,50.0,Geodia barretti,744.0,62.5893,-61.04198,3.87,34.83,Alfredo,2013.0,2013-01-01,IE_20170918_07201,IE_20170919_06601,IE_20171002_04301,IE_20171003_03401,insdc:SRX3993957,-744.0
5,PAA2011007_Gb15,Gb15,255.0,PAA2011007,126.0,Geodia barretti,563.0,62.55291,-61.373675,3.63,34.75,Alfredo,2011.0,2011-01-01,IE_20170918_02901,IE_20170919_03501,IE_20171002_06301,IE_20171003_02501,,-563.0
6,PAA2011007_Gb10,Gb10,262.0,PAA2011007,128.0,Geodia barretti,801.0,62.62814,-60.925362,4.08,34.89,Alfredo,2011.0,2011-01-01,IE_20170918_04201,IE_20170919_02401,IE_20171002_04201,IE_20171003_05101,insdc:SRX3993944,-801.0
7,PAA2014007_Gb13,Gb13,278.0,PAA2014007,125.0,Geodia barretti,1332.0,62.5184,-59.970517,3.6,34.92,Alfredo,2014.0,2014-01-01,IE_20170918_06401,IE_20170919_01601,IE_20171002_06101,IE_20171003_02801,insdc:SRX3993959,-1332.0
8,PAA2015007_Gb17,Gb17,289.0,PAA2015007,60.0,Geodia barretti,557.0,62.42628,-61.25654,3.65,34.74,Alfredo,2015.0,2015-01-01,IE_20170918_06101,IE_20170919_06401,IE_20171002_02901,IE_20171003_05301,,-557.0
9,PAA2015007_Gb7,Gb7,299.0,PAA2015007,62.0,Geodia barretti,667.0,62.68804,-61.28264,3.73,34.8,Alfredo,2015.0,2015-01-01,IE_20170918_05001,IE_20170919_04201,IE_20171002_02501,IE_20171003_03601,insdc:SRX3993941,-667.0
