,Event label,Sample code/label,Sample ID,Date/Time of event,Latitude of event,Longitude of event,"DEPTH, water [m]",Method/Device of event,Area/locality,"Geology, comment","Accession number, genetics","Accession number, genetics","Accession number, genetics","Accession number, genetics",Measurement conducted,Measurement conducted,Measurement conducted,Bacteria [#/ml],Phytoplankton [#/l],Elevation [m]
0,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-00594",DR4 #38,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568808,insdc:SRR11568997,insdc:MT680135,insdc:SAMN15394155,yes,no,yes,,,-695.0
1,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-00595",DR4 #39,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568807,insdc:SRR11568996,insdc:MT680136,insdc:SAMN15394156,yes,no,yes,,,-695.0
2,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-00598",DR4 #43,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568763,insdc:SRR11568984,insdc:MT680137,insdc:SAMN15394157,yes,no,no,,,-695.0
3,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-01102",DR4 #46,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568819,insdc:SRR11568982,insdc:MT680138,insdc:SAMN15394158,yes,no,no,,,-695.0
4,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-01105",DR4 #49,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568806,insdc:SRR11568985,insdc:MT680139,insdc:SAMN15394159,yes,no,no,,,-695.0
5,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-01106",DR4 #51,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568795,insdc:SRR11568981,insdc:MT680140,insdc:SAMN15394160,yes,no,no,,,-695.0
6,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-01107",DR4 #52,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568784,insdc:SRR11568980,insdc:MT680141,insdc:SAMN15394161,yes,no,no,,,-695.0
7,SPONGES_0617_04-DR4,"TaP clade (Region A, Avil_s Canyon): WB-01108",DR4 #53,2017-01-01,43.8719,-5.9018,695,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568776,insdc:SRR11568979,insdc:MT680142,insdc:SAMN15394162,yes,no,no,,,-695.0
8,SPONGES_0617_15-DR7,"TaP clade (Region B, Le Danois West-Bank): WB-00650",DR7 #241,2017-01-01,44.1034,-5.151,660,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568775,insdc:SRR11568978,insdc:MT680143,insdc:SAMN15394163,yes,yes,no,,,-660.0
9,SPONGES_0617_23-DR9,"TaP clade (Region B, Le Danois West-Bank): WB-00673",DR9 #376,2017-01-01,44.045,-5.1057,660,"Dredge, rock",Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568774,insdc:SRR11568977,insdc:MT680144,insdc:SAMN15394164,yes,no,no,,,-660.0
