Event []	DATE/TIME []	Location []	IUCN Red List status []	Species []	LATITUDE []	LONGITUDE []	DEPTH, water [m]	Temperature, water [°C]	Latitude 2 []	Longitude 2 []	Uniform resource locator/link to reference []
PS132/1-2	2011-11-01T00:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	69.3	11.5		0.105	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.94574X
PS132/1-2	2015-11-29T20:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	69.4	12		0.663	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-05-01T09:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	69.5	12.5	0.025	0.13	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-07-24T22:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	69.6	13	0.03	0.094	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-11-21T06:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	69.7	13.5	0.035	0.759	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-02-07T03:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	69.8	14	0.04	0.672	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-12-09T00:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	69.9	14.5	0.045	0.097	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-07-03T12:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	70	15	0.05	0.903	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-02-13T03:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	70.1	15.5	0.055	0.681	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-05-03T08:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	70.2	16	0.06	0.521	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-04-01T07:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	70.3	16.5	0.065	0.587	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-12-23T02:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	70.4	17	0.07	0.904	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-03-31T16:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	70.5	17.5	0.075	0.482	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-11-11T05:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	70.6	18	0.08	0.704	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
